id,Wing_Morph,DLMstate,CO2_resid
1.3,LW,2,-17.329468680521448
1.5,LW,2,-18.884857881669923
1.7,LW,2,-18.406108741313265
10.10,SW,0,37.64850678986445
10.11,SW,1,7.473675682768348
10.12,LW,2,60.126227822873794
10.13,LW,1,0.5372767519539347
10.14,LW,2,-11.682639768843224
10.4,LW,2,-1.1676871393996884
10.5,LW,2,11.95984168305958
10.6,LW,2,-0.9625221576875314
10.9,SW,1,-5.107538660828938
11.1,LW,2,14.428661147956863
11.4,LW,2,-3.1338241866868235
11.5,LW,2,-2.696817234711336
11.6,LW,1,68.72448528343357
11.7,SW,0,12.257828451586901
12.10,LW,0,2.2629920177511744
12.11,LW,1,-1.1284740690091242
12.4,LW,1,7.017483221614367
12.5,LW,2,-0.2511608423404715
12.6,LW,2,-0.9959286183639532
12.8,LW,2,-7.553566353889573
12.9,LW,2,-7.766561859066865
13.10,LW,1,-8.458144813852261
13.11,LW,2,-12.061849674268665
13.12,LW,1,77.73006114934336
13.4,LW,2,2.2448353161815824
13.5,LW,2,-2.349488185233993
13.6,SW,0,-10.430639036046284
13.7,LW,2,-19.08829097427581
13.8,LW,2,-3.2387573150037934
13.9,LW,1,2.243946838362506
14.1,LW,2,18.509518234095935
14.4,LW,2,-9.454827309272625
14.5,SW,1,-10.171225988626068
15.1,LW,2,-12.051745942723006
15.2,LW,2,-11.535995536666384
15.3,SW,0,-0.7570006707218727
15.4,LW,2,-10.83419499115542
15.5,SW,1,-3.7797364150255386
15.6,LW,2,-8.152817963286616
15.61,SW,1,1.5297910114083635
15.7,LW,2,42.0752075465132
16.3,LW,2,-13.046729952423863
16.4,LW,1,-0.44433008708012406
16.5,LW,1,-4.228382304904793
16.6,LW,2,-2.5169961588979466
16.7,SW,1,-10.174198838656523
16.71,SW,0,-11.047292556551911
17.2,LW,1,-2.6225047837080906
17.3,LW,2,-16.89878149807143
18.1,LW,1,2.735934674860772
18.2,LW,2,-11.079960875045304
18.3,LW,2,0.08639849211133951
18.4,LW,2,3.4026793109992512
18.41,LW,2,-12.11808698118588
18.5,LW,2,-8.562397684734893
18.51,LW,2,-7.743591245500097
18.6,SW,1,10.706154580324664
18.7,SW,1,-7.9607870264012925
18.8,SW,0,5.425089072211121
19.1,LW,2,-13.21377543343236
19.3,LW,2,-6.733869784927972
19.4,LW,2,-6.734642773115625
19.6,LW,2,-13.377743083978476
19.7,SW,0,-6.63433163514823
2.10,LW,2,-6.255687155710936
2.11,LW,2,-12.278758890108787
2.12,LW,1,-3.844425604386467
2.13,LW,2,-14.13286095037026
2.14,LW,2,-5.646857735021693
20.1,SW,0,-4.0938468259914735
20.11,SW,0,-5.384841988832733
20.2,LW,2,-3.70957601080699
20.3,LW,1,-8.447560267932799
20.4,LW,2,-1.9070204432673137
20.5,LW,2,-11.351427464176815
20.6,LW,1,23.027879177573947
20.7,LW,2,-23.188533743175903
20.8,LW,2,-6.903984322881169
20.9,LW,2,-1.112455948634163
21.1,LW,2,-9.522765555612583
21.2,LW,2,-9.917579086986306
21.3,LW,2,-7.890306785845343
21.4,LW,1,23.94934348576812
21.5,LW,2,-4.279057682842254
21.61,LW,2,-17.83856836132623
21.7,SW,0,-4.245471039757564
21.8,SW,0,2.0440419172687787
22.1,SW,1,-4.098351087533936
22.10,SW,1,-6.569861560752532
22.11,SW,0,6.19413246759373
22.12,LW,1,24.953631326625764
22.13,LW,1,2.6125561689538457
22.14,SW,1,3.450910540523319
22.2,LW,1,2.2960034822779063
22.3,LW,1,1.8027899789675783
22.5,LW,2,-8.032140095405977
22.6,LW,1,6.694670710656682
22.7,LW,2,-9.37595995383813
22.8,LW,1,5.8518349985514
22.9,LW,1,36.27604817919176
24.1,SW,0,-9.736780602559364
24.2,LW,2,1.452685773467548
25.11,SW,0,4.298653386009921
25.12,LW,1,-6.658076612217638
25.14,LW,2,94.57717137708693
25.2,LW,2,-13.275744623718516
25.3,SW,1,-9.9831144610343
25.4,LW,1,-2.9284876775934885
25.5,LW,2,-11.303654875773729
25.6,LW,1,-1.1907493115542416
25.7,LW,2,-16.80779714319231
25.9,LW,1,2.9402954207319274
26.2,LW,2,7.8546354192948025
26.3,LW,2,29.47267569658155
27.1,SW,1,-0.9005188591385388
27.2,SW,0,-2.5018762865682382
28.11,LW,2,-2.1456952256733657
28.19,SW,1,5.600904005561127
28.2,LW,2,-16.378188054989863
28.3,LW,1,-9.67323931591714
28.4,LW,2,-24.717220026166025
28.5,LW,2,-13.636825524678779
28.6,LW,2,-20.61491458363772
28.7,LW,2,4.986512973563177
28.8,LW,2,-7.710730639690117
28.9,LW,1,101.78432085946723
29.2,LW,2,-12.009796056624785
29.3,LW,2,-2.9844030599899782
29.4,SW,1,-9.62089556082159
29.6,LW,2,-6.356884961058051
29.7,LW,2,-20.338863322316833
29.9,LW,2,-13.842037051515236
3.20,LW,2,-3.760535765107075
3.30,LW,2,-8.95103686117483
3.5,LW,2,37.5393919481904
30.1,LW,2,-21.599503498044047
30.2,LW,2,37.54668522441592
30.3,LW,2,-18.44538442452979
30.5,LW,1,6.26719484296902
30.51,LW,2,-4.3957446871232095
30.6,SW,0,-2.088952782161549
30.7,LW,2,-14.7945832349176
30.8,LW,2,-4.4231311231156205
31.1,SW,0,5.782696923280307
31.2,LW,2,-13.325425680322658
31.3,LW,1,47.681023314521475
31.5,LW,2,10.112116184634106
32.1,LW,2,-2.021658309826596
32.5,LW,2,-14.873842393667658
34.1,LW,2,-3.4046508663027923
34.2,LW,2,9.814802444974202
34.3,LW,2,-7.5865348532335215
34.4,LW,2,-19.415954804354246
34.5,LW,2,-13.581322783525776
35.1,LW,2,-5.364040373918541
35.2,LW,2,-11.43804667942109
