ID.yr,ID,year,age,offspring_inde,jul_incubeZY,final_breed,sex
543774-MMY--1988,543774-MMY,1988,2,2,-18,0,F
543774-MMY--1989,543774-MMY,1989,3,2,3,0,F
543774-MMY--1990,543774-MMY,1990,4,0,NA,0,F
543840-ORN--1988,543840-ORN,1988,1,0,12,0,F
553418-gMYC--2008,553418-gMYC,2008,3,3,13,0,F
574511-OYG--1988,574511-OYG,1988,1,0,-8,0,F
574712-YGR--1988,574712-YGR,1988,2,0,19,0,F
574724-YMB--1988,574724-YMB,1988,1,0,50,0,F
574724-YMB--1989,574724-YMB,1989,2,4,11,0,F
574748-NGB--1988,574748-NGB,1988,1,2,NA,0,F
574751-NON--1988,574751-NON,1988,1,0,-3,0,F
574751-NON--1989,574751-NON,1989,2,3,NA,0,F
574751-NON--1990,574751-NON,1990,3,5,0,0,F
574761-MRG--1988,574761-MRG,1988,1,2,-5,0,F
574761-MRG--1989,574761-MRG,1989,2,1,-2,0,F
583809-mGMW--1990,583809-mGMW,1990,1,3,-4,0,F
583809-mGMW--1991,583809-mGMW,1991,2,3,-3,0,F
583809-mGMW--1992,583809-mGMW,1992,3,7,-1,0,F
583809-mGMW--1993,583809-mGMW,1993,4,0,-3,0,F
583809-mGMW--1994,583809-mGMW,1994,5,0,-5,0,F
583809-mGMW--1995,583809-mGMW,1995,6,2,-2,0,F
583809-mGMW--1996,583809-mGMW,1996,7,4,10,0,F
596662-GYN--1989,596662-GYN,1989,1,0,NA,0,F
596662-GYN--1990,596662-GYN,1990,2,3,NA,1,F
596713-YgwB--1989,596713-YgwB,1989,1,3,28,0,F
596751-BWM--1990,596751-BWM,1990,2,2,NA,0,F
596751-BWM--1991,596751-BWM,1991,3,3,7,0,F
596751-BWM--1992,596751-BWM,1992,4,7,1,0,F
596751-BWM--1993,596751-BWM,1993,5,0,13,0,F
596751-BWM--1994,596751-BWM,1994,6,0,22,0,F
596751-BWM--1995,596751-BWM,1995,7,3,9,0,F
596791-GWY--1989,596791-GWY,1989,1,0,NA,0,F
596801-GWR--1989,596801-GWR,1989,1,0,NA,0,F
596801-GWR--1991,596801-GWR,1991,3,2,0,0,F
596801-GWR--1992,596801-GWR,1992,4,3,NA,0,F
596801-GWR--1993,596801-GWR,1993,5,0,-1,0,F
596814-MNO--1992,596814-MNO,1992,4,3,NA,0,F
598298-WAM--2011,598298-WAM,2011,1,2,NA,0,F
598298-WAM--2012,598298-WAM,2012,2,3,NA,0,F
626625-YrwN--1992,626625-YrwN,1992,3,3,-19,0,F
626685-WWR--1990,626685-WWR,1990,1,2,6,0,F
626685-WWR--1991,626685-WWR,1991,2,1,2,0,F
626685-WWR--1992,626685-WWR,1992,3,0,-2,0,F
626691-GBW--1989,626691-GBW,1989,1,4,NA,0,F
626691-GBW--1990,626691-GBW,1990,2,0,NA,0,F
626691-GBW--1991,626691-GBW,1991,3,0,NA,0,F
626691-GBW--1992,626691-GBW,1992,4,0,2,0,F
626691-GBW--1993,626691-GBW,1993,5,0,-2,0,F
626691-GBW--1994,626691-GBW,1994,6,0,NA,0,F
626691-GBW--1995,626691-GBW,1995,7,1,NA,0,F
626709-NBR--1990,626709-NBR,1990,1,3,-6,0,F
626712-OWO--1990,626712-OWO,1990,1,0,9,0,F
626712-OWO--1991,626712-OWO,1991,2,1,20,0,F
626712-OWO--1992,626712-OWO,1992,3,0,-3,0,F
626712-OWO--1993,626712-OWO,1993,4,3,NA,0,F
626716-WBR--1990,626716-WBR,1990,1,0,NA,0,F
626716-WBR--1991,626716-WBR,1991,2,3,21,0,F
626716-WBR--1992,626716-WBR,1992,3,0,14,0,F
626716-WBR--1993,626716-WBR,1993,4,1,NA,0,F
626721-NGG--1990,626721-NGG,1990,1,0,-2,0,F
626721-NGG--1991,626721-NGG,1991,2,2,6,0,F
626734-YYN--1990,626734-YYN,1990,1,1,6,0,F
626734-YYN--1991,626734-YYN,1991,2,3,-2,0,F
626734-YYN--1992,626734-YYN,1992,3,4,-5,0,F
626734-YYN--1993,626734-YYN,1993,4,5,0,0,F
626734-YYN--1994,626734-YYN,1994,5,2,-7,0,F
626736-WRB--1992,626736-WRB,1992,3,0,1,0,F
626741-GYO--1990,626741-GYO,1990,1,2,-28,0,F
626741-GYO--1991,626741-GYO,1991,2,1,-24,0,F
626746-BNN--1992,626746-BNN,1992,3,2,19,0,F
626746-BNN--1993,626746-BNN,1993,4,3,-9,0,F
626746-BNN--1994,626746-BNN,1994,5,2,6,0,F
626748-NRO--1990,626748-NRO,1990,1,0,-1,0,F
626748-NRO--1991,626748-NRO,1991,2,2,0,0,F
626845-YobY--1991,626845-YobY,1991,1,0,16,0,F
626845-YobY--1992,626845-YobY,1992,2,3,-3,0,F
626845-YobY--1993,626845-YobY,1993,3,2,-7,0,F
626845-YobY--1994,626845-YobY,1994,4,0,NA,0,F
626845-YobY--1995,626845-YobY,1995,5,0,2,0,F
626845-YobY--1996,626845-YobY,1996,6,3,0,0,F
626845-YobY--1997,626845-YobY,1997,7,3,14,0,F
626895-NGY--1991,626895-NGY,1991,1,2,13,0,F
626895-NGY--1992,626895-NGY,1992,2,8,0,0,F
626901-NNY--1991,626901-NNY,1991,1,0,NA,0,F
626902-WBG--1990,626902-WBG,1990,1,0,NA,0,F
626904-WGN--1991,626904-WGN,1991,1,1,11,0,F
626904-WGN--1992,626904-WGN,1992,2,4,-1,0,F
626904-WGN--1993,626904-WGN,1993,3,4,5,0,F
626905-NWW--1991,626905-NWW,1991,1,1,10,0,F
626905-NWW--1992,626905-NWW,1992,2,0,-3,0,F
626905-NWW--1993,626905-NWW,1993,3,2,-5,0,F
626905-NWW--1994,626905-NWW,1994,4,1,NA,0,F
626905-NWW--1995,626905-NWW,1995,5,1,NA,0,F
626905-NWW--1996,626905-NWW,1996,6,3,2,0,F
626905-NWW--1997,626905-NWW,1997,7,0,NA,0,F
626908-WMY--1990,626908-WMY,1990,1,0,NA,0,F
626908-WMY--1991,626908-WMY,1991,2,2,0,0,F
626908-WMY--1992,626908-WMY,1992,3,2,0,0,F
626910-WRN--1991,626910-WRN,1991,1,0,NA,0,F
626910-WRN--1992,626910-WRN,1992,2,4,2,0,F
626910-WRN--1993,626910-WRN,1993,3,4,2,0,F
626916-YWN--1991,626916-YWN,1991,1,3,NA,0,F
626917-NGW--1991,626917-NGW,1991,1,4,NA,0,F
626917-NGW--1992,626917-NGW,1992,2,2,NA,0,F
626917-NGW--1993,626917-NGW,1993,3,2,-2,0,F
626917-NGW--1994,626917-NGW,1994,4,2,NA,0,F
653417-gAnrW--2003,653417-gAnrW,2003,1,3,19,0,F
653417-gAnrW--2004,653417-gAnrW,2004,2,4,14,0,F
653417-gAnrW--2005,653417-gAnrW,2005,3,6,NA,0,F
653417-gAnrW--2006,653417-gAnrW,2006,4,2,22,0,F
653417-gAnrW--2007,653417-gAnrW,2007,5,2,NA,0,F
653417-gAnrW--2008,653417-gAnrW,2008,6,0,NA,0,F
696365-nyNN--1992,696365-nyNN,1992,1,3,50,0,F
696376-wgMA--1992,696376-wgMA,1992,1,1,NA,0,F
696387-brOG--1992,696387-brOG,1992,1,0,NA,0,F
696387-brOG--1993,696387-brOG,1993,2,8,4,0,F
696387-brOG--1994,696387-brOG,1994,3,2,NA,0,F
696387-brOG--1995,696387-brOG,1995,4,4,-7,0,F
696387-brOG--1996,696387-brOG,1996,5,3,5,0,F
696440-nyRN--1992,696440-nyRN,1992,1,4,3,0,F
