ID.yr,ID,year,age,long_years,sex
696495-wgNN--2000,696495-wgNN,2000,9,10,F
776233-RBY--2000,776233-RBY,2000,5,7,F
776256-NRG--2000,776256-NRG,2000,5,8,F
776318-byNW--2000,776318-byNW,2000,5,6,F
776380-NBB--2000,776380-NBB,2000,5,6,F
776360-rnOA--2000,776360-rnOA,2000,5,7,F
776409-WGG--2000,776409-WGG,2000,5,6,F
776412-ONM--2000,776412-ONM,2000,5,7,F
776446-GMG--2000,776446-GMG,2000,5,8,F
776451-nrMW--2000,776451-nrMW,2000,4,6,F
776472-OMO--2000,776472-OMO,2000,5,7,F
776532-nwYN--2000,776532-nwYN,2000,4,4,F
776750-MYG--2000,776750-MYG,2000,4,5,F
776754-GGM--2000,776754-GGM,2000,4,4,F
776764-ORM--2000,776764-ORM,2000,4,9,F
776767-BMB--2000,776767-BMB,2000,4,5,F
803909-BAB--2000,803909-BAB,2000,4,5,F
804076-YbrY--2000,804076-YbrY,2000,3,5,F
804102-YwrB--2000,804102-YwrB,2000,3,4,F
804131-OobW--2000,804131-OobW,2000,3,6,F
804146-RbyO--2000,804146-RbyO,2000,3,6,F
804160-GwrW--2000,804160-GwrW,2000,3,6,F
804212-WWW--2000,804212-WWW,2000,3,4,F
804217-WNM--2000,804217-WNM,2000,3,8,F
804218-NGO--2000,804218-NGO,2000,3,5,F
804230-OGR--2000,804230-OGR,2000,3,4,F
804305-YrbM--2000,804305-YrbM,2000,2,2,F
804308-YybW--2000,804308-YybW,2000,2,5,F
832093-NAY--2000,832093-NAY,2000,2,3,F
832100-AboR--2000,832100-AboR,2000,2,4,F
832102-BboA--2000,832102-BboA,2000,2,4,F
832105-WboG--2000,832105-WboG,2000,2,4,F
832117-NybM--2000,832117-NybM,2000,2,3,F
832121-OAY--2000,832121-OAY,2000,2,3,F
832131-GrbG--2000,832131-GrbG,2000,2,4,F
832173-GWM--2000,832173-GWM,2000,2,4,F
832183-YYO--2000,832183-YYO,2000,2,2,F
832184-YGM--2000,832184-YGM,2000,2,8,F
832188-YMM--2000,832188-YMM,2000,2,3,F
832190-YMN--2000,832190-YMN,2000,2,7,F
832193-YNB--2000,832193-YNB,2000,2,4,F
832195-YNG--2000,832195-YNG,2000,2,8,F
832197-YWG--2000,832197-YWG,2000,2,3,F
832217-OBO--2000,832217-OBO,2000,2,9,F
832226-BMG--2000,832226-BMG,2000,2,9,F
832230-NAB--2000,832230-NAB,2000,2,2,F
832242-NAA--2000,832242-NAA,2000,2,4,F
832368-wnAM--2000,832368-wnAM,2000,1,4,F
832376-RWO--2000,832376-RWO,2000,2,4,F
832419-wnNO--2000,832419-wnNO,2000,1,2,F
832434-gyOA--2000,832434-gyOA,2000,1,2,F
832448-ogMY--2000,832448-ogMY,2000,1,7,F
832472-boNO--2000,832472-boNO,2000,1,2,F
832485-BBA--2000,832485-BBA,2000,1,3,F
832486-WOO--2000,832486-WOO,2000,1,5,F
832487-NWA--2000,832487-NWA,2000,1,3,F
832513-ogAB--2000,832513-ogAB,2000,1,2,F
832518-OMB--2000,832518-OMB,2000,1,1,F
776013-_yryr--2000,776013-_yryr,2000,1,2,F
832545-RYA--2000,832545-RYA,2000,1,5,F
832546-YRA--2000,832546-YRA,2000,1,3,F
832547-OYB--2000,832547-OYB,2000,1,3,F
832548-BYM--2000,832548-BYM,2000,1,2,F
832550-AMN--2000,832550-AMN,2000,1,1,F
832551-ABY--2000,832551-ABY,2000,1,3,F
832552-YGA--2000,832552-YGA,2000,1,3,F
832553-BWA--2000,832553-BWA,2000,1,3,F
832554-NNA--2000,832554-NNA,2000,1,2,F
832555-YAA--2000,832555-YAA,2000,1,8,F
832558-BRM--2000,832558-BRM,2000,1,3,F
832559-WON--2000,832559-WON,2000,1,3,F
832560-NAW--2000,832560-NAW,2000,1,3,F
832561-RRA--2000,832561-RRA,2000,1,3,F
832562-AOA--2000,832562-AOA,2000,1,6,F
832563-OAB--2000,832563-OAB,2000,1,2,F
832565-MRW--2000,832565-MRW,2000,1,6,F
832568-BRG--2000,832568-BRG,2000,1,2,F
